Restaurant Name,Rating & Delivery Time,Cuisine
Bakingo,4.3 • 32 mins,"Bakery, Desserts, Beverages, Snacks"
La Pino'z Pizza,4.1 • 22 mins,"Pizzas, Pastas, Italian, Desserts, Beverages"
"Dabba Garam (Homestyle,Combo, Thali & More)",4.4 • 27 mins,"Home Food, North Indian, Thai"
McDonald's,4.3 • 22 mins,"Burgers, Beverages, Cafe, Desserts"
Subway,4.1 • 43 mins,"Salads, Snacks, Desserts, Beverages"
Great Indian Khichdi by EatFit,4.2 • 33 mins,"Home Food, Indian, North Indian, Healthy Food, Snacks, Desserts, Rajasthani, South Indian, Maharashtrian, Sweets"
KFC,4.1 • 28 mins,"Burgers, Biryani, American, Snacks, Fast Food"
Pizza Hut,4.1 • 29 mins,Pizzas
Domino's Pizza,4.3 • 25 mins,"Pizzas, Italian, Pastas, Desserts"
Burger King,4.2 • 37 mins,"Burgers, American"
Central Prabhu,4.3 • 27 mins,"Mughlai, North Indian, Chinese, Konkan, Malwani"
NH1 Bowls - Highway To North,4.5 • 34-44 mins,"North Indian, Punjabi, Home Food"
